id_ip,ratio_active,max_acf,dominant_lag
3.0,0.1686187900143927,0.0,0
5.0,0.0197280262047744,0.0,0
10.0,0.9999503697453967,0.0,0
11.0,1.0,0.0,0
12.0,0.9964018065412676,0.0,0
13.0,1.0,0.0,0
14.0,0.715246414214105,0.0,0
15.0,1.0,0.0,0
17.0,0.0828577100600526,0.2903599637352415,142
18.0,0.9999255546180952,0.3332819442500025,950
20.0,0.8844607672837361,0.0,0
21.0,0.985433520273959,0.0,0
24.0,0.6115439972207057,0.4166122977687134,1009
25.0,1.0,0.0,0
26.0,0.9839694277631644,0.1649467400556113,145
27.0,0.8436646979999007,0.0,0
28.0,0.8104868727976574,0.2506827662608954,141
29.0,0.9999751848726984,0.0,0
31.0,0.9999255546180952,0.0,0
33.0,1.0,0.0,0
34.0,0.9996774033450792,0.0,0
35.0,0.9999255546180952,0.0,0
42.0,0.9999503697453967,0.0,0
43.0,0.0846692143530696,0.0,0
45.0,1.0,0.0,0
46.0,0.0732294406670306,0.0965881237803751,1005
47.0,0.6847238076331331,0.0,0
48.0,0.0734775919400466,0.1906741274839509,143
49.0,0.9986599831257136,0.0,0
50.0,0.1339024269194501,0.0,0
51.0,0.9999503697453967,0.0,0
52.0,0.9999503697453967,0.0,0
53.0,1.0,0.0,0
54.0,0.9998511092361904,0.0,0
60.0,0.1339272420467517,0.0,0
63.0,0.2335847932899895,0.6512684665001095,1008
64.0,0.9999751848726984,0.0,0
65.0,0.9995285125812696,0.157497004178459,43
73.0,0.9999503697453967,0.0,0
75.0,0.0464539183086009,0.499091488442413,1009
78.0,0.0491091369298724,0.1832804538275632,140
82.0,0.7485731301801578,0.0,0
83.0,0.981860141942528,0.1096621344937276,149
84.0,0.0690604992803613,0.1811921734364993,1008
88.0,0.003498932949526,0.0,0
92.0,1.0,0.0,0
93.0,0.9986103528711102,0.1058989583422934,41
94.0,0.9907935877711052,0.0,0
101.0,0.1599583105861333,0.5801888027189951,1008
102.0,0.9926795374460272,0.2521250795624215,150
103.0,0.9999503697453967,0.4999751787144874,4
104.0,0.9999503697453967,0.4999730763012302,1711
106.0,0.0299270435257332,0.2610598300614992,1009
111.0,0.9989577646533326,0.0,0
118.0,0.996873293959998,0.0,0
119.0,0.9653084520323588,0.0,0
120.0,0.9912898903171372,0.0,0
121.0,0.9998014789815872,0.0,0
122.0,0.99937962181746,0.0,0
123.0,0.9979155293066654,0.2126411774049172,64
128.0,0.999751848726984,0.0997751239958102,241
129.0,0.7856469303687528,0.0,0
133.0,0.0434761030324085,0.0,0
136.0,0.0407712541565338,0.0,0
146.0,0.996501067050474,0.0,0
152.0,0.0975730805499032,0.5188106194212686,1008
153.0,0.0393071616457392,0.3085428103750341,1008
154.0,0.9470445183383792,0.0,0
155.0,0.9705196287656956,0.0,0
157.0,0.0473472628914586,0.2113146055271267,143
161.0,0.3361953446821182,0.0,0
164.0,0.1784703955531291,0.0,0
171.0,0.5150379671447715,0.0,0
172.0,0.070201995136235,0.2160072733860474,143
178.0,0.0887885254851357,0.360610881381425,139
179.0,0.9992803613082536,0.0,0
180.0,0.0255347659933495,0.2199896834134034,1005
182.0,0.0273214551590649,0.1672353938209842,1008
185.0,0.1583205121842275,0.3179250670384736,143
187.0,0.9966747729415852,0.0,0
190.0,0.9420566777507569,0.0,0
196.0,0.9920095290088838,0.0,0
197.0,0.0176187403841381,0.2127786133755811,1008
200.0,0.0175691101295349,0.0,0
203.0,0.0329048588019256,0.1013132813194208,1009
204.0,0.9994540671993648,0.0,0
205.0,0.9998262941088888,0.1427080623968946,38
206.0,0.6912750012407564,0.0,0
212.0,0.003747084222542,0.0,0
214.0,0.2528413320760335,0.0,0
221.0,0.0951660132016477,0.428260157561704,6
226.0,0.1017668370638741,0.2799389267244375,144
227.0,0.94086555164028,0.0,0
228.0,0.8110576207255943,0.0,0
232.0,0.018065412675567,0.0,0
235.0,1.0,0.0,0
236.0,0.9882624447863416,0.1250213550395347,137
237.0,0.8169636210233758,0.0,0
238.0,0.9997270335996824,0.0,0
241.0,0.7461908779592039,0.0,0
249.0,0.0935530299270435,0.3693375789254623,1009
251.0,0.0173209588565189,0.0,0
254.0,0.0798054494019554,0.2840813616440152,139
256.0,0.699736959650603,0.0,0
261.0,0.128840140949923,0.5093704349904011,1008
266.0,0.0178420765298525,0.0,0
273.0,0.0751898357238572,0.2292155483743472,1003
274.0,0.9934488063923768,0.0,0
275.0,0.0484639436200307,0.4040551030901986,142
283.0,0.0713186758648071,0.3485622412101838,139
286.0,0.0966052905851407,0.209310319635164,143
287.0,0.0462305821628864,0.396273265657804,1008
290.0,0.0771502307806839,0.2602638835285535,1005
292.0,0.3153010074941684,0.0,0
295.0,0.0753139113603652,0.2400904756912676,143
300.0,0.5761824408159214,0.0,0
302.0,0.0565784902476549,0.1686263357505959,148
305.0,1.0,0.0,0
306.0,0.9828279319072908,0.5372056636784837,143
308.0,0.0677452975333763,0.231907006987519,1013
314.0,0.0359323043327212,0.0,0
315.0,0.8795473720780188,0.0,0
316.0,0.0762072559432229,0.2564042229813484,142
319.0,0.3482058662960941,0.3984081311013452,145
326.0,0.063824507419723,0.2577301162368231,134
332.0,0.9957317981041244,0.0,0
342.0,0.9991066554171424,0.0,0
343.0,0.9861779740930072,0.0,0
344.0,0.9893046801330092,0.0,0
347.0,0.9998262941088888,0.0,0
348.0,0.9988833192714278,0.0,0
364.0,0.0244677155193806,0.094544131992487,137
367.0,1.0,0.0,0
369.0,0.0366023127698645,0.1908531565661114,1022
370.0,0.3212566380465532,0.0,0
375.0,0.0734279616854434,0.4537395384661439,1008
378.0,0.0730309196486178,0.0,0
379.0,0.0854136681721177,0.2273131386268644,1000
381.0,0.1071020894337188,0.2133297712237245,145
382.0,0.0806739788575115,0.2062529616199472,1015
383.0,0.2990470991116184,0.0,0
384.0,0.9756067298625242,0.0,0
385.0,0.9687329395999802,0.0,0
386.0,0.9943917812298376,0.0,0
388.0,0.900540969775175,0.0,0
396.0,0.00387115985905,0.0,0
398.0,0.9960792098863468,0.2184436747039335,113
399.0,0.0724353565933793,0.2190384426818487,145
403.0,0.0733535163035386,0.0,0
404.0,0.0367263884063725,0.308737450178446,1008
406.0,0.0056826641520671,0.0,0
407.0,0.9999503697453967,0.0,0
408.0,0.2522457690207951,0.0,0
409.0,0.2403593230433272,0.4114989200756367,144
410.0,0.9474167452479032,0.0,0
411.0,0.9989081343987296,0.0,0
412.0,0.0646434066206759,0.0,0
413.0,0.9995533277085712,0.277450667825374,394
415.0,0.1026105513921286,0.2256165375706287,141
416.0,0.1467318477343789,0.0,0
419.0,0.0788872896917961,0.2854891367140561,136
420.0,0.1000049630254603,0.2671230531946902,143
430.0,0.9464489552831404,0.0,0
432.0,0.99736959650603,0.0,0
433.0,0.7120948930468013,0.0,0
434.0,0.996873293959998,0.0,0
435.0,0.9998014789815872,0.2498510599631652,4
436.0,0.1016675765546677,0.3531901159024674,138
437.0,0.1779740930070971,0.4929782896719914,1008
438.0,0.2162638344334706,0.0,0
440.0,0.0203980346419177,0.3198635727464605,1014
446.0,0.1442751501315201,0.0,0
447.0,0.7683011563849322,0.0,0
453.0,0.9700233262196636,0.0,0
454.0,0.0724353565933793,0.1197659594800506,1007
457.0,0.0927837609806938,0.2515992491134254,1008
460.0,0.5592088937416249,0.0,0
463.0,0.9911409995533276,0.0,0
464.0,0.0457094644895528,0.0,0
467.0,0.9981140503250782,0.0,0
468.0,0.9993548066901584,0.0,0
469.0,0.2735619633728721,0.0,0
474.0,0.7502605588366669,0.0,0
484.0,0.6822919251575761,0.0,0
491.0,0.9999255546180952,0.0,0
493.0,0.998560722616507,0.1711847536225313,1012
494.0,0.7595166013201647,0.3211747411044812,1009
495.0,0.9999255546180952,0.3332836273308543,39
500.0,0.8582559928532434,0.0,0
501.0,0.4652588217777557,0.0,0
510.0,0.3085264777408308,0.0,0
511.0,0.9998014789815872,0.1248262251266535,7
512.0,0.0658097176038513,0.23128472468144,1006
519.0,0.5388356742270087,0.0,0
521.0,0.9999503697453967,0.0,0
523.0,0.1540523102883517,0.0,0
524.0,0.0548662464638443,0.2031034124869326,1006
525.0,0.0402997667378033,0.1847359359989366,1008
