id_ip,ratio_active,whr,total_active_hours,work_active_hours
3.0,0.16861879001439278,0.31361295069904344,6795.0,2131.0
5.0,0.01972802620477443,0.38616352201257864,795.0,307.0
10.0,0.9999503697453967,0.3127853881278539,40296.0,12604.0
11.0,1.0,0.3127946796367065,40298.0,12605.0
12.0,0.9964018065412676,0.3134261449953926,40153.0,12585.0
13.0,1.0,0.3127946796367065,40298.0,12605.0
14.0,0.715246414214105,0.2965687124865558,28823.0,8548.0
15.0,1.0,0.3127946796367065,40298.0,12605.0
17.0,0.0828577100600526,0.48218029350104824,3339.0,1610.0
18.0,0.9999255546180952,0.312817967489763,40295.0,12605.0
20.0,0.8844607672837361,0.308035463778688,35642.0,10979.0
21.0,0.985433520273959,0.312256049960968,39711.0,12400.0
24.0,0.6115439972207057,0.3929962668397987,24644.0,9685.0
25.0,1.0,0.3127946796367065,40298.0,12605.0
26.0,0.9839694277631644,0.3161505094320589,39652.0,12536.0
27.0,0.8436646979999007,0.3041649508794635,33998.0,10341.0
28.0,0.8104868727976574,0.3517344845534429,32661.0,11488.0
29.0,0.9999751848726984,0.3128024418691217,40297.0,12605.0
31.0,0.9999255546180952,0.312817967489763,40295.0,12605.0
33.0,1.0,0.3127946796367065,40298.0,12605.0
34.0,0.9996774033450792,0.3128956187166439,40285.0,12605.0
35.0,0.9999255546180952,0.312817967489763,40295.0,12605.0
42.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
43.0,0.08466921435306964,0.4317116060961313,3412.0,1473.0
45.0,1.0,0.3127946796367065,40298.0,12605.0
46.0,0.07322944066703062,0.5022026431718062,2951.0,1482.0
47.0,0.6847238076331331,0.3000761062588337,27593.0,8280.0
48.0,0.07347759194004665,0.4414049307666329,2961.0,1307.0
49.0,0.9986599831257136,0.3127919689891661,40244.0,12588.0
50.0,0.1339024269194501,0.3839881393624907,5396.0,2072.0
51.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
52.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
53.0,1.0,0.3127946796367065,40298.0,12605.0
54.0,0.9998511092361904,0.312841258810682,40292.0,12605.0
60.0,0.1339272420467517,0.35019455252918286,5397.0,1890.0
63.0,0.2335847932899895,0.4507595878041007,9413.0,4243.0
64.0,0.9999751848726984,0.3127776261260143,40297.0,12604.0
65.0,0.9995285125812696,0.3129422279599791,40279.0,12605.0
73.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
75.0,0.046453918308600926,0.34455128205128205,1872.0,645.0
78.0,0.04910913692987245,0.6781202627589692,1979.0,1342.0
82.0,0.7485731301801578,0.305111715176026,30166.0,9204.0
83.0,0.981860141942528,0.3176889832436121,39567.0,12570.0
84.0,0.06906049928036131,0.4523895077254761,2783.0,1259.0
88.0,0.003498932949526031,0.28368794326241137,141.0,40.0
92.0,1.0,0.3127946796367065,40298.0,12605.0
93.0,0.9986103528711102,0.3129069131752895,40242.0,12592.0
94.0,0.9907935877711052,0.3130713552232825,39927.0,12500.0
101.0,0.1599583105861333,0.4548557244802979,6446.0,2932.0
102.0,0.9926795374460272,0.3144764142689298,40003.0,12580.0
103.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
104.0,0.9999503697453967,0.3128102044867977,40296.0,12605.0
106.0,0.029927043525733287,0.3880597014925373,1206.0,468.0
111.0,0.9989577646533326,0.3130465023847377,40256.0,12602.0
118.0,0.996873293959998,0.3131534402071094,40172.0,12580.0
119.0,0.9653084520323588,0.3134447300771208,38900.0,12193.0
120.0,0.9912898903171372,0.3128895786917666,39947.0,12499.0
121.0,0.9998014789815872,0.3128319682303301,40290.0,12604.0
122.0,0.99937962181746,0.31266605418022,40273.0,12592.0
123.0,0.9979155293066654,0.3131496493758393,40214.0,12593.0
128.0,0.999751848726984,0.312797855440826,40288.0,12602.0
129.0,0.7856469303687528,0.310612760581175,31660.0,9834.0
133.0,0.04347610303240856,0.5833333333333334,1752.0,1022.0
136.0,0.04077125415653382,0.36944613511868535,1643.0,607.0
146.0,0.996501067050474,0.3133451204024205,40157.0,12583.0
152.0,0.09757308054990323,0.41810783316378436,3932.0,1644.0
153.0,0.03930716164573924,0.803030303030303,1584.0,1272.0
154.0,0.9470445183383792,0.3098207735038256,38164.0,11824.0
155.0,0.9705196287656956,0.312631040654564,39110.0,12227.0
157.0,0.04734726289145863,0.6850104821802935,1908.0,1307.0
161.0,0.3361953446821182,0.2922940655447298,13548.0,3960.0
164.0,0.17847039555312919,0.30561735261401557,7192.0,2198.0
171.0,0.5150379671447715,0.3067694531438207,20755.0,6367.0
172.0,0.07020199513623505,0.463768115942029,2829.0,1312.0
178.0,0.08878852548513574,0.44969256567915034,3578.0,1609.0
179.0,0.9992803613082536,0.3123246169510045,40269.0,12577.0
180.0,0.025534765993349546,0.5519922254616132,1029.0,568.0
182.0,0.027321455159064967,0.44141689373297005,1101.0,486.0
185.0,0.15832051218422752,0.43087774294670844,6380.0,2749.0
187.0,0.9966747729415852,0.3129917338910467,40164.0,12571.0
190.0,0.9420566777507569,0.3113821352369412,37963.0,11821.0
196.0,0.9920095290088838,0.3125125075045027,39976.0,12493.0
197.0,0.01761874038413817,0.4267605633802817,710.0,303.0
200.0,0.017569110129534965,0.6680790960451978,708.0,473.0
203.0,0.03290485880192565,0.6199095022624435,1326.0,822.0
204.0,0.9994540671993648,0.3129655377892541,40276.0,12605.0
205.0,0.9998262941088888,0.3128490233550917,40291.0,12605.0
206.0,0.6912750012407564,0.3024733460171591,27857.0,8426.0
212.0,0.0037470842225420615,0.2847682119205298,151.0,43.0
214.0,0.2528413320760335,0.2964962214152517,10189.0,3021.0
221.0,0.09516601320164772,0.3408083441981747,3835.0,1307.0
226.0,0.10176683706387414,0.526213118751524,4101.0,2158.0
227.0,0.94086555164028,0.3131478306738757,37915.0,11873.0
228.0,0.8110576207255943,0.3099987761595887,32684.0,10132.0
232.0,0.018065412675567025,0.3118131868131868,728.0,227.0
235.0,1.0,0.3127946796367065,40298.0,12605.0
236.0,0.9882624447863416,0.3153044569993722,39825.0,12557.0
237.0,0.8169636210233758,0.3006500212623777,32922.0,9898.0
238.0,0.9997270335996824,0.3128056196788046,40287.0,12602.0
241.0,0.7461908779592039,0.3021616228799468,30070.0,9086.0
249.0,0.09355302992704352,0.5090185676392573,3770.0,1919.0
