id_ip,ratio_active,strength_daily,strength_weekly,max_strength
3.0,0.1686187900143927,,,
5.0,0.0197280262047744,,,
10.0,0.9999503697453967,0.6681202483206399,0.6987065183104222,0.6987065183104222
11.0,1.0,0.4149752254384601,0.4519121997404559,0.4519121997404559
12.0,0.9964018065412676,0.6751290154829372,0.678039284886981,0.678039284886981
13.0,1.0,0.4215910684169687,0.4794562180826425,0.4794562180826425
14.0,0.715246414214105,0.3327053686662267,0.4110910514222232,0.4110910514222232
15.0,1.0,0.5206839382003823,0.6029844356704712,0.6029844356704712
17.0,0.0828577100600526,,,
18.0,0.9999255546180952,0.6191818059634729,0.6460054553856682,0.6460054553856682
20.0,0.8844607672837361,0.3679659472482669,0.378762506373726,0.378762506373726
21.0,0.985433520273959,0.4037733047377354,0.4340284185060488,0.4340284185060488
24.0,0.6115439972207057,0.7077646918993632,0.7588442643941022,0.7588442643941022
25.0,1.0,0.3583801807531589,0.3773927259369647,0.3773927259369647
26.0,0.9839694277631644,0.6798847023243817,0.675028938853366,0.6798847023243817
27.0,0.8436646979999007,0.3498529701588558,0.3734797271578498,0.3734797271578498
28.0,0.8104868727976574,0.5032894131185919,0.511510441115586,0.511510441115586
29.0,0.9999751848726984,0.5720324209031239,0.5770213281967751,0.5770213281967751
31.0,0.9999255546180952,0.5733828055771804,0.6131720912626263,0.6131720912626263
33.0,1.0,0.4949393035155481,0.492946289405517,0.4949393035155481
34.0,0.9996774033450792,0.4502517232991835,0.6269127948595625,0.6269127948595625
35.0,0.9999255546180952,0.4031599490735256,0.45253828363276,0.45253828363276
42.0,0.9999503697453967,0.6355424105506042,0.6353643074437633,0.6355424105506042
43.0,0.0846692143530696,,,
45.0,1.0,0.7956072935126329,0.8173180854064791,0.8173180854064791
46.0,0.0732294406670306,,,
47.0,0.6847238076331331,0.3508244127445351,0.3630366443363247,0.3630366443363247
48.0,0.0734775919400466,,,
49.0,0.9986599831257136,0.3724561711117103,0.3777622817349112,0.3777622817349112
50.0,0.1339024269194501,,,
51.0,0.9999503697453967,0.6525172302701655,0.7746378740934121,0.7746378740934121
52.0,0.9999503697453967,0.7106855406212096,0.7016833806352387,0.7106855406212096
53.0,1.0,0.6601129305944512,0.7298869070835611,0.7298869070835611
54.0,0.9998511092361904,0.5415520137839391,0.5925198425235942,0.5925198425235942
60.0,0.1339272420467517,,,
63.0,0.2335847932899895,,,
64.0,0.9999751848726984,0.6732783764240176,0.7626273135292547,0.7626273135292547
