id_ip,ratio_active,max_acf
3.0,0.1686187900143927,
5.0,0.0197280262047744,
10.0,0.9999503697453967,0.3274816616489463
11.0,1.0,0.1601089559154001
12.0,0.9964018065412676,0.3396867400469953
13.0,1.0,0.1145103698965574
14.0,0.715246414214105,0.51325626285876
15.0,1.0,0.1708875219129991
17.0,0.0828577100600526,
18.0,0.9999255546180952,0.2223624018247261
20.0,0.8844607672837361,0.4388627319437498
21.0,0.985433520273959,0.2194096527590831
24.0,0.6115439972207057,0.3295035107495626
25.0,1.0,0.1466174084634717
26.0,0.9839694277631644,0.4912896852874085
27.0,0.8436646979999007,0.2185778003134585
28.0,0.8104868727976574,0.1673566082095385
29.0,0.9999751848726984,0.4158917271511429
31.0,0.9999255546180952,0.3674990641981079
33.0,1.0,0.4282251778828534
34.0,0.9996774033450792,0.2271809629548623
35.0,0.9999255546180952,0.9437364828091622
42.0,0.9999503697453967,0.3333537411793257
43.0,0.0846692143530696,
45.0,1.0,0.6183606232088911
46.0,0.0732294406670306,
47.0,0.6847238076331331,0.2516321628678236
48.0,0.0734775919400466,
49.0,0.9986599831257136,0.3928146806857075
50.0,0.1339024269194501,
51.0,0.9999503697453967,0.3068884473715482
52.0,0.9999503697453967,0.5320982907239742
53.0,1.0,0.4110197502511905
54.0,0.9998511092361904,0.2255371197760489
60.0,0.1339272420467517,
63.0,0.2335847932899895,
64.0,0.9999751848726984,0.5311191885301089
65.0,0.9995285125812696,0.3350308718832651
73.0,0.9999503697453967,0.4036024735820492
75.0,0.0464539183086009,
78.0,0.0491091369298724,
82.0,0.7485731301801578,0.1558871339165977
83.0,0.981860141942528,0.1928290987043873
84.0,0.0690604992803613,
88.0,0.003498932949526,
92.0,1.0,0.6421099045489593
93.0,0.9986103528711102,0.6711828470300761
94.0,0.9907935877711052,0.1907548833955764
101.0,0.1599583105861333,
102.0,0.9926795374460272,0.0465517128243166
103.0,0.9999503697453967,0.7033043830231419
104.0,0.9999503697453967,0.3054186703687812
106.0,0.0299270435257332,
111.0,0.9989577646533326,0.3164910767805763
118.0,0.996873293959998,0.4149171272285231
119.0,0.9653084520323588,0.4359802325924024
120.0,0.9912898903171372,0.2080903464879084
121.0,0.9998014789815872,0.139961982783281
122.0,0.99937962181746,0.8264367833774526
123.0,0.9979155293066654,0.4223083378073497
128.0,0.999751848726984,0.5914019174760681
129.0,0.7856469303687528,0.1881706548811158
133.0,0.0434761030324085,
136.0,0.0407712541565338,
146.0,0.996501067050474,0.6024617661746968
