id_ip,ratio_active,max_acf
3.0,0.2694254242334028,0.1015668213023906
5.0,0.02917534980649,0.5389620709677172
10.0,0.9998511461744568,0.6407037698283659
11.0,0.9998511461744568,0.4072847845747372
12.0,0.9998511461744568,0.6176719751703358
13.0,0.9998511461744568,0.1540749551180089
14.0,0.8553140815718964,0.70097281540489
15.0,0.9998511461744568,0.4953144388408243
17.0,0.1241440905031259,0.1464651823187112
18.0,0.9998511461744568,0.3853663820616747
20.0,0.9822863947603452,0.006157426410889
21.0,0.9997022923489134,0.3683153841277475
24.0,0.7009526644834773,0.5638292306793034
25.0,0.9998511461744568,0.4422043245459681
26.0,0.9988091693956536,0.7955133129283957
27.0,0.9921107472462042,0.3512284163175057
28.0,0.9234891336707354,0.1697450661747997
29.0,0.9998511461744568,0.7400751489055499
31.0,0.9998511461744568,0.590593266249415
33.0,0.9998511461744568,0.4663918337654026
34.0,0.99955343852337,0.5918991840327088
35.0,0.9998511461744568,0.9000532660734949
42.0,0.9998511461744568,0.6304812963261438
43.0,0.1251860672819291,0.1704988463447311
45.0,0.9998511461744568,0.815853408036365
46.0,0.1104495385531408,0.1768248793995565
47.0,0.950133968442989,0.615192898669356
48.0,0.0909496874069663,0.0118588899587561
49.0,0.9989580232211968,0.0116501149673266
50.0,0.158529324203632,0.0805015870393304
51.0,0.9998511461744568,0.6554026361598799
52.0,0.9998511461744568,0.7806031892004509
53.0,0.9998511461744568,0.7021913395700815
54.0,0.9997022923489134,0.4900594061384007
60.0,0.193361119380768,0.3864529031483579
63.0,0.2322119678475736,0.0898541749119349
64.0,0.9998511461744568,0.4868241426420004
65.0,0.9998511461744568,0.6769562396345535
73.0,0.9998511461744568,0.6830841848854385
75.0,0.0663888061923191,0.3799211976262907
78.0,0.0707055671330753,0.0363752031813918
82.0,0.967549866031557,0.1791576177359564
83.0,0.99955343852337,0.4960639041137246
84.0,0.1113426615064007,0.4314782795341145
88.0,0.0005954153021732,0.0004822889107088
92.0,0.9998511461744568,0.8002673281076741
93.0,0.9998511461744568,0.8200427271655021
94.0,0.99955343852337,0.1920951036878682
101.0,0.2033343256921702,0.0750141036098408
102.0,0.9988091693956536,0.0690700169833668
103.0,0.9998511461744568,0.882235246937706
104.0,0.9998511461744568,0.6242538790000534
106.0,0.0242631735635605,0.097989734832316
111.0,0.99910687704674,0.515062753099857
118.0,0.9980649002679368,0.7226325978278696
119.0,0.9958320928847872,0.6607241020540954
120.0,0.99955343852337,0.3577444608117219
121.0,0.9998511461744568,0.4398559064373805
122.0,0.9998511461744568,0.923249332822347
123.0,0.9997022923489134,0.7256089658930134
128.0,0.9997022923489134,0.8378072589804674
129.0,0.9465614766299494,0.0100983413428579
133.0,0.0619231914260196,0.2678939490734722
136.0,0.0619231914260196,0.0909184659204615
146.0,0.9970229234891336,0.7724124265346196
152.0,0.1271211670139922,0.1371195228332147
153.0,0.05879726108961,0.0407304814248761
